sim,sourceX,sourceY,targetX,targetY
0.8792,2013-2017,461,2014-2018,461
0.8807,2013-2017,1095,2014-2018,1095
0.8811,2013-2017,921,2014-2018,921
0.8816,2013-2017,1199,2014-2018,1199
0.8841,2013-2017,581,2014-2018,581
0.8855,2013-2017,161,2014-2018,161
0.8855,2013-2017,221,2014-2018,221
0.887,2013-2017,353,2014-2018,353
0.89,2013-2017,1290,2014-2018,1290
0.8906,2013-2017,1460,2014-2018,1460
0.8928,2013-2017,107,2014-2018,107
0.8934,2013-2017,2,2014-2018,2
0.8955,2013-2017,1046,2014-2018,1046
0.9013,2013-2017,60,2014-2018,60
